2024-06-09 at 23:28:46 | INFO | gpuid: 0, args: Namespace(exp_name='resnet50_baseline', video_path='../dataset/dataset0420', dataset='dataset0420', n_classes=7, aug_type=0, pretrain_path=None, sample_size=224, sample_duration=5, sample_t_stride=1, train_crop='random', value_scale=1, train_crop_min_scale=0.25, train_crop_min_ratio=0.75, no_hflip=False, colorjitter=False, train_t_crop='random', backbone='resnet50', nepoch=300, weight_decay=4e-05, lr=0.001, min_lr=0.0001, warmup_epoch=10, batch_size=8)
2024-06-09 at 23:28:48 | INFO | train: epoch 0
2024-06-09 at 23:28:58 | INFO | e:0,0/139 0.1 mb/s passed:9.67 eta:1334.20 lr:0.00010 acc:0.000 loss:1.940971
2024-06-09 at 23:29:00 | INFO | e:0,5/139 0.51 mb/s passed:11.71 eta:259.64 lr:0.00010 acc:0.625 loss:1.770823
2024-06-09 at 23:29:01 | INFO | e:0,10/139 0.88 mb/s passed:12.56 eta:146.10 lr:0.00010 acc:0.750 loss:1.455498
2024-06-09 at 23:29:02 | INFO | e:0,15/139 1.2 mb/s passed:13.41 eta:103.06 lr:0.00010 acc:0.375 loss:1.878501
2024-06-09 at 23:29:04 | INFO | e:0,20/139 1.3 mb/s passed:15.77 eta:88.63 lr:0.00010 acc:0.375 loss:1.988976
2024-06-09 at 23:29:05 | INFO | e:0,25/139 1.6 mb/s passed:16.62 eta:72.25 lr:0.00010 acc:0.500 loss:1.502801
2024-06-09 at 23:29:06 | INFO | e:0,30/139 1.8 mb/s passed:17.47 eta:60.88 lr:0.00010 acc:1.000 loss:0.617479
2024-06-09 at 23:29:09 | INFO | e:0,35/139 1.8 mb/s passed:20.45 eta:58.52 lr:0.00010 acc:0.625 loss:1.407005
2024-06-09 at 23:29:09 | INFO | e:0,40/139 1.9 mb/s passed:21.30 eta:50.92 lr:0.00010 acc:0.625 loss:1.404241
2024-06-09 at 23:29:10 | INFO | e:0,45/139 2.1 mb/s passed:22.16 eta:44.80 lr:0.00010 acc:0.250 loss:2.095014
2024-06-09 at 23:29:13 | INFO | e:0,50/139 2 mb/s passed:25.09 eta:43.29 lr:0.00010 acc:0.625 loss:1.140567
2024-06-09 at 23:29:14 | INFO | e:0,55/139 2.2 mb/s passed:25.97 eta:38.50 lr:0.00010 acc:0.625 loss:1.128561
2024-06-09 at 23:29:15 | INFO | e:0,60/139 2.3 mb/s passed:26.82 eta:34.30 lr:0.00010 acc:0.500 loss:1.274426
2024-06-09 at 23:29:16 | INFO | e:0,65/139 2.4 mb/s passed:27.68 eta:30.62 lr:0.00010 acc:0.375 loss:1.954219
2024-06-09 at 23:29:19 | INFO | e:0,70/139 2.3 mb/s passed:31.10 eta:29.79 lr:0.00010 acc:0.750 loss:1.495161
2024-06-09 at 23:29:20 | INFO | e:0,75/139 2.4 mb/s passed:31.96 eta:26.49 lr:0.00010 acc:0.750 loss:0.759262
2024-06-09 at 23:29:21 | INFO | e:0,80/139 2.5 mb/s passed:32.81 eta:23.49 lr:0.00010 acc:0.625 loss:1.069645
2024-06-09 at 23:29:24 | INFO | e:0,85/139 2.4 mb/s passed:35.82 eta:22.08 lr:0.00010 acc:0.750 loss:0.939470
2024-06-09 at 23:29:25 | INFO | e:0,90/139 2.5 mb/s passed:36.68 eta:19.35 lr:0.00010 acc:0.625 loss:1.197487
2024-06-09 at 23:29:26 | INFO | e:0,95/139 2.6 mb/s passed:37.53 eta:16.81 lr:0.00010 acc:0.500 loss:1.267951
2024-06-09 at 23:29:28 | INFO | e:0,100/139 2.5 mb/s passed:40.38 eta:15.19 lr:0.00010 acc:0.625 loss:1.216598
2024-06-09 at 23:29:29 | INFO | e:0,105/139 2.6 mb/s passed:41.23 eta:12.84 lr:0.00010 acc:0.500 loss:1.628735
2024-06-09 at 23:29:30 | INFO | e:0,110/139 2.6 mb/s passed:42.09 eta:10.62 lr:0.00010 acc:0.250 loss:2.327393
2024-06-09 at 23:29:33 | INFO | e:0,115/139 2.6 mb/s passed:44.50 eta:8.82 lr:0.00010 acc:0.500 loss:1.339459
2024-06-09 at 23:29:33 | INFO | e:0,120/139 2.7 mb/s passed:45.32 eta:6.74 lr:0.00010 acc:0.625 loss:1.340727
2024-06-09 at 23:29:34 | INFO | e:0,125/139 2.7 mb/s passed:46.15 eta:4.76 lr:0.00010 acc:0.500 loss:1.450781
2024-06-09 at 23:29:36 | INFO | e:0,130/139 2.8 mb/s passed:47.40 eta:2.89 lr:0.00010 acc:0.750 loss:1.158198
2024-06-09 at 23:29:36 | INFO | e:0,135/139 2.8 mb/s passed:48.22 eta:1.06 lr:0.00010 acc:0.625 loss:1.230442
